GaiaEDR3,Gmag,BPmag,WDprob,Dist50,Abs_V,BV_Color
2.58337E+18,19.5805,20.3812,0.978,0.05862,15.74027093,0.8007
4.11907E+17,15.7391,15.7039,0.993,0.06904,11.54359609,-0.0352
3.76117E+17,19.6838,20.0519,0.999,0.10061,14.67059425,0.3681
2.78331E+18,19.3721,19.6601,0.998,0.08849,14.63762902,0.288
2.53828E+18,16.3282,16.3458,1,0.08158,11.7702815,0.0176
2.53791E+18,19.4565,20.0122,0.999,0.09602,14.54469149,0.5557
2.53829E+18,17.1913,17.3159,1,0.09782,12.23916171,0.1246
4.93353E+18,15.4586,15.4809,0.936,0.04985,11.97027419,0.0223
3.7107E+17,15.4525,15.5162,0.862,0.0515,11.89346385,0.0637
2.46979E+18,20.2085,20.5805,0.929,0.10292,15.14600111,0.372
2.79009E+18,18.2245,18.3188,0.999,0.10158,13.19045896,0.0943
3.06805E+17,17.9471,18.1265,1,0.06525,13.87419742,0.1794
4.93237E+18,20.6863,20.9517,0.931,0.1096,15.48724723,0.2654
4.84841E+18,18.1518,18.3806,1,0.08177,13.58883001,0.2288
3.06351E+17,16.7067,16.6536,1,0.08955,11.94637205,-0.0531
3.0678E+17,18.8805,19.216,0.999,0.07203,14.59293293,0.3355
2.46969E+18,20.3485,20.6635,0.893,0.11164,15.10940086,0.315
2.35141E+18,19.146,19.4181,0.961,0.10326,14.0763394,0.2721
4.92737E+18,20.5342,20.8689,0.987,0.10532,15.42164575,0.3347
2.35935E+18,19.2004,19.7904,0.926,0.08387,14.58236678,0.59
2.53778E+18,19.5802,19.9258,0.955,0.10557,14.46249739,0.3456
3.08383E+17,16.7517,16.6914,1,0.05881,12.9044441,-0.0603
2.7922E+18,18.2151,18.354,0.999,0.08952,13.45549963,0.1389
2.53791E+18,18.5639,18.7736,0.999,0.0939,13.70057204,0.2097
4.98314E+18,18.6777,19.1703,0.967,0.06232,14.70456278,0.4926
2.79042E+18,19.1147,19.2425,0.82,0.08961,14.35291761,0.1278
5.03291E+18,18.1704,18.5143,1,0.06043,14.26413703,0.3439
5.33215E+17,19.586,20.0448,0.999,0.08939,14.82955531,0.4588
4.04376E+17,17.1886,17.3395,1,0.06477,13.13173051,0.1509
2.35774E+18,18.5803,18.7786,0.985,0.08662,13.8922091,0.1983
4.70942E+18,20.4043,20.8967,0.982,0.09168,15.59292698,0.4924
5.02777E+18,20.9204,21.2176,0.532,0.11197,15.67489161,0.2972
4.01734E+17,18.9454,19.2671,1,0.08483,14.30265266,0.3217
4.98949E+18,16.6671,16.7436,1,0.0722,12.37441401,0.0765
5.01401E+18,14.6963,14.5599,0.994,0.09357,9.840616853,-0.1364
5.33215E+17,19.1217,19.5806,0.999,0.08632,14.44114284,0.4589
5.02794E+18,19.8857,20.4334,0.993,0.10079,14.86861277,0.5477
2.35464E+18,19.5875,19.9823,0.977,0.10257,14.53239822,0.3948
2.57797E+18,20.3782,21.2204,0.78,0.11456,15.08303498,0.8422
5.02696E+18,15.4203,15.3704,1,0.0689,11.22920389,-0.0499
2.57654E+18,20.7311,20.1976,0.612,0.09982,15.73501217,-0.5335
2.4702E+18,20.6078,20.9422,0.72,0.11518,15.30091463,0.3344
2.47646E+18,19.0479,19.7706,0.981,0.05483,15.35280877,0.7227
4.70911E+18,18.9386,19.2584,0.999,0.09059,14.1531987,0.3198
4.26323E+17,18.2646,18.6138,0.999,0.06863,14.08203001,0.3492
5.63004E+17,17.5089,17.8168,1,0.0516,13.94565149,0.3079
4.63482E+18,19.4635,19.8328,0.998,0.10417,14.37478668,0.3693
2.58325E+18,18.6873,19.0223,0.999,0.06663,14.56895093,0.335
5.01399E+18,19.0588,19.4357,0.999,0.09196,14.24080519,0.3769
2.4699E+18,16.6017,16.721,0.981,0.06076,12.68361117,0.1193
2.4699E+18,18.7315,19.1883,0.944,0.0597,14.85162834,0.4568
5.02607E+18,17.5501,17.8261,0.972,0.05156,13.98853546,0.276
4.68635E+18,19.2971,19.7085,0.999,0.10419,14.20796981,0.4114
2.46814E+18,18.3513,18.5317,0.969,0.07418,13.99986586,0.1804
5.02695E+18,20.6633,21.0554,0.956,0.10776,15.50101209,0.3921
4.92712E+18,15.9922,16.1018,1,0.04354,12.79775788,0.1096
4.9878E+18,19.5749,19.9603,0.998,0.09148,14.76826922,0.3854
2.35467E+18,16.2106,16.1802,1,0.09473,11.32816231,-0.0304
3.13968E+17,19.0402,19.3266,0.999,0.08926,14.28691559,0.2864
