source_id,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,gcns_prob,dist_50
4069722207225520896,19.973335,,,0.846,0.08322954
5962578306835348096,15.219692,16.683672,14.03938,1.0,0.084507816
4111826424477506048,18.564255,18.48113,17.265326,0.426,0.09859733
4067117361152611200,19.871902,20.793428,19.763723,0.99,0.0870439
4068263945682329728,18.717474,19.276815,18.085157,1.0,0.057515416
4068602320286172160,20.11329,21.145803,18.249804,0.464,0.10814622
4118083745220292608,18.10816,,,0.456,0.100220434
5973663239406367872,15.957205,17.797522,14.57733,1.0,0.09321148
5973650113985526656,16.659185,18.525644,15.302759,0.998,0.10175526
5973650113985526528,16.098345,17.687439,14.771604,1.0,0.09610738
5974319647843624704,17.808395,20.022001,16.418951,1.0,0.094542876
5962117985062059136,18.27149,19.882978,16.544273,1.0,0.101187535
5961921451702684800,16.474194,19.253874,14.981533,1.0,0.034158766
5961899736319188992,19.774538,20.274084,19.485022,0.998,0.10307307
5962610467554246656,15.157609,16.45882,14.032188,1.0,0.098646365
5962537723616048768,11.560363,12.3942585,10.666921,1.0,0.058920797
5962540992156729984,14.589921,15.9461565,13.431687,1.0,0.07374496
5962527969814717824,15.2411175,16.912685,13.962255,1.0,0.041482586
5975717470716688128,14.374348,15.942736,13.16,1.0,0.044800118
5974896371751256576,17.844593,20.053692,16.482742,1.0,0.10240285
5974942963562466176,20.0139,21.438961,18.414656,0.96,0.098992154
5980339714587361024,16.530256,16.614262,16.459564,1.0,0.06945176
4040929296332375168,17.700874,20.039715,16.10923,1.0,0.058020744
4053284920732774272,16.439064,18.06219,15.200156,1.0,0.09575251
4054069868992047616,18.19914,20.418211,16.814594,1.0,0.10456423
4041739116605415040,17.082785,17.805124,15.347446,0.442,0.06389094
4041728503800518656,16.675043,18.413536,15.2804575,1.0,0.07539355
4041752589985967232,18.462395,18.50204,16.734186,0.418,0.10673371
4041744339285744256,12.249221,13.131942,11.278991,1.0,0.08408002
4041550653733702272,17.09152,19.219841,15.822375,1.0,0.097259164
4041760389596403072,17.649261,20.090172,16.354797,1.0,0.09404086
4043144155223015680,15.999318,17.62761,14.757418,1.0,0.0703545
4043162095171600512,16.661848,18.01095,15.357304,1.0,0.10064763
4043156322733189888,15.417199,16.565321,14.010305,1.0,0.09829029
