source_id,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,phot_bp_rp_excess_factor,gcns_prob,dist_50
239109213145234560,19.374512,19.863916,18.93261,1.0944414,1.0,0.093157016
242177812664145792,20.55853,21.190414,20.120186,1.0355464,0.928,0.11444666
433103132037681536,3.535792,4.0842237,2.8988132,1.1944585,1.0,0.03479849
433103166397513600,18.493954,19.856438,16.830992,2.153899,0.94,0.035567522
231113740685855616,8.451743,8.932311,7.799521,1.2333857,1.0,0.02409635
230944755193183744,20.006676,20.61627,19.332333,1.1969852,1.0,0.07632433
225158613910446464,19.301928,19.544891,18.97377,1.1492842,1.0,0.104160994
248004472671505152,10.496969,11.304553,9.589943,1.3152547,1.0,0.03638835
232131987234297984,19.457207,19.977333,18.82063,1.205738,0.998,0.09236722
336593533268802304,16.955359,18.763256,15.660628,1.5242718,1.0,0.09493672
336538454607430016,6.76056,7.0175714,6.337386,1.1939123,1.0,0.029825388
336623872916615296,16.384655,18.089294,15.131737,1.4855585,1.0,0.09128289
336619023898043776,19.779696,20.178804,19.361063,1.1211042,1.0,0.096890196
335110150347517568,17.674187,17.994722,17.184843,1.2004446,1.0,0.0625417
336572706969808128,9.364455,9.632723,8.764646,1.2978188,1.0,0.087069936
336624457032425600,15.941682,17.808424,14.644138,1.5206347,1.0,0.09130099
432701805995023232,12.4514265,13.1685,11.630343,1.2713572,1.0,0.09819202
432656519864156416,16.494585,18.533998,15.08425,1.6537678,1.0,0.061161894
432734795640719872,12.52732,13.24714,11.701502,1.2743304,1.0,0.09854653
432673562292060544,16.935818,18.187012,14.982472,2.773274,0.666,0.11259866
333795860290661120,15.140507,16.809072,13.899947,1.4755493,1.0,0.06833574
333815406684842112,15.291753,16.624628,14.154641,1.4121352,1.0,0.09689096
333808745192503040,15.978327,17.810791,14.702988,1.4966503,1.0,0.07375639
333809123149619200,17.045755,18.841213,15.789569,1.4774753,1.0,0.100762494
333809157507546240,18.665548,20.13409,17.223494,1.7761898,1.0,0.09890206
333805652816046592,12.993198,14.039704,11.977397,1.3494436,1.0,0.07805165
334201958038389760,12.542257,13.485395,11.577232,1.3280541,1.0,0.057928078
334992399522897152,12.191202,12.957468,11.337934,1.2817413,1.0,0.08740141
334239405857549184,19.86992,21.75054,18.315878,1.8895794,1.0,0.10262752
334236695734051456,17.386698,17.507788,17.199924,1.1486298,1.0,0.08275594
334224875983781888,8.904303,9.202539,8.434202,1.2000408,1.0,0.0724987
334242949205479168,20.674694,20.795944,19.148832,2.3647418,0.848,0.09493996
334244594178112384,18.033955,18.173454,17.835798,1.1429918,1.0,0.08894459
334178112379880064,17.557383,19.91731,16.130713,1.6488246,1.0,0.0935
334160279675720832,15.80232,17.47508,14.562499,1.4740496,1.0,0.09591942
334225563179035648,16.200506,18.08387,14.8833685,1.5439867,1.0,0.07690485
334256830540966144,16.846117,19.051773,15.484912,1.5697697,1.0,0.055440113
141545595043884288,13.368359,14.535322,12.260998,1.4147903,1.0,0.07035597
333705597256645632,12.422862,13.187476,11.238384,1.6117604,1.0,0.04911372
333729545995783168,6.083054,6.316628,5.6864166,1.1913943,1.0,0.07952415
333738303432160000,11.523197,12.210045,10.726061,1.2623737,1.0,0.079464726
333536852290245504,19.233837,19.809547,18.566624,1.2049718,0.998,0.07186454
334115543296518912,15.834201,17.63,14.560361,1.4993769,1.0,0.07777034
334118047261792640,11.861854,12.8887005,10.854644,1.3460411,1.0,0.041927714
333471195122699264,14.070414,15.385402,12.938521,1.4099112,1.0,0.07348274
333840214416464384,18.66068,21.110123,17.14118,1.7821089,1.0,0.075138666
141699664109142912,18.827066,20.92395,17.293123,1.834104,1.0,0.074282065
334149142824085504,17.41203,19.689463,16.031471,1.5902079,1.0,0.08916003
334149147120664704,15.198562,16.633898,13.871409,1.6224779,1.0,0.08540433
334156706263100032,9.924641,10.45466,9.240813,1.2353145,1.0,0.049783915
334156706263100416,8.565072,8.914118,8.039077,1.2091353,0.994,0.05713182
333978173062841344,14.547876,16.28654,13.289375,1.4877852,1.0,0.04045526
333998995064235008,16.389639,18.12111,14.958301,1.7202562,0.998,0.100351766
141716539037134208,14.051885,15.296887,12.947287,1.3946551,1.0,0.08159312
141807828566142720,17.46591,19.61383,16.07534,1.6153944,1.0,0.09800292
334381453311657344,14.974079,16.428455,13.798353,1.4330732,1.0,0.08994781
334244564113830016,12.562333,13.3787775,11.678433,1.2919987,1.0,0.09565742
334347918207101440,14.788452,16.539743,13.527774,1.4887878,1.0,0.049262762
334286036318332672,17.088873,18.967213,15.808605,1.4973012,0.998,0.10042489
334276930987728256,14.30458,15.707024,13.143838,1.4253432,1.0,0.049059328
334264733280778880,15.129782,16.653732,13.934101,1.444338,1.0,0.06032576
334263393250961152,12.665573,13.774661,11.617005,1.3668202,1.0,0.0665847
335606721581693696,8.950829,9.282936,8.4503765,1.2015147,1.0,0.07664687
335144892337326336,4.7216687,5.0514627,4.310991,1.1496894,0.934,0.023925781
335876136290330880,15.712382,17.258919,14.50282,1.456962,1.0,0.091224924
336658816771132032,9.220723,9.622657,8.647768,1.214337,1.0,0.05543589
335891598172572288,16.319286,18.222599,15.025505,1.5115196,1.0,0.05799762
335885546561758976,11.92682,12.684892,11.079973,1.279007,1.0,0.09298595
335882763422970752,17.521446,19.64992,16.154474,1.5846311,1.0,0.08821024
335872734676393728,14.209296,15.604148,12.982145,1.5040739,1.0,0.058974896
335872730380964864,16.598282,,,,0.704,0.060153075
335880259459076480,15.8488245,17.654196,14.5790205,1.4931118,1.0,0.060756855
335801708801349888,16.796207,16.830479,16.751532,1.1412992,1.0,0.064098686
335856997916173824,13.801808,14.969546,12.729283,1.3777577,1.0,0.08095579
335853768100771968,15.080228,16.756084,13.8345375,1.4807569,1.0,0.091848716
335835523079852928,17.393396,20.071745,15.87111,1.7720472,1.0,0.068373345
335647506590969856,13.7726145,15.003502,12.674332,1.3909183,1.0,0.07877132
335634754832026240,13.838597,15.311938,12.65419,1.4397632,1.0,0.04277344
335634759128271104,14.0040455,15.507467,12.812241,1.4432287,1.0,0.042572964
334093587421921920,18.997114,21.02728,17.493876,1.7925565,1.0,0.07776895
334093896661469312,15.872542,17.4614,14.667343,1.4451469,1.0,0.097328104
335591190980560896,18.666605,21.37885,17.218508,1.6571822,1.0,0.08847989
141842707994732672,17.625097,19.765226,16.250664,1.5937637,1.0,0.09852439
143293685388561664,4.1400833,4.3179398,3.8135514,1.1842636,0.99,0.038677838
143303065596618624,18.653212,21.3925,17.192005,1.6751163,1.0,0.082849704
143272554149050624,12.245269,12.954899,11.3999815,1.2941501,1.0,0.09935756
143272554149050368,13.921211,15.044204,12.776845,1.465491,1.0,0.10094882
143119137917418752,9.571071,9.963398,9.009588,1.2112881,1.0,0.06663054
143119137916819456,5.2669635,5.4539204,4.8756585,1.2140805,0.922,0.060409807
143126112944305536,19.473888,,,,0.614,0.11089825
335659463780716288,11.755882,12.454911,10.950642,1.2646472,1.0,0.08181886
335680010902286336,19.161604,21.254362,17.70199,1.7200971,1.0,0.10661886
143385185371780352,17.44251,17.703289,17.045332,1.1772252,1.0,0.04241866
143335329391058688,16.015917,17.695755,14.784759,1.4625614,1.0,0.0720414
143433250348821120,20.656372,21.031809,20.267735,1.115308,0.946,0.11534431
143432082117652736,19.156239,19.725088,18.590265,1.1383926,1.0,0.06190765
143207476804948736,18.15832,20.346607,16.769844,1.6088133,1.0,0.097595565
143204311412096384,17.889133,20.493546,16.427574,1.6833386,1.0,0.05792207
143438855283093888,11.558193,12.669469,10.511115,1.3647789,1.0,0.03489979
143454935640730752,14.894647,16.46688,13.682973,1.4553756,1.0,0.07512519
143455554116023040,11.240531,12.020946,10.381341,1.2821561,1.0,0.056032557
143558461530827264,14.130588,15.760278,12.43921,2.160426,0.908,0.030401468
141624248780091392,15.654952,17.271679,14.431269,1.4628242,1.0,0.0725639
141624351859302784,12.734948,13.763,11.7266445,1.346802,1.0,0.097679645
