source_id,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,gcns_prob,dist_50
491707784695048960,9.500555,9.962513,8.642545,1.0,0.043705866
287420624496244352,8.239307,7.792428,6.773066,1.0,0.050671864
2217901324740110080,19.906511,20.4271,19.362068,1.0,0.10554152
2243647970052898176,19.936443,20.35453,19.283054,1.0,0.10208904
2197079529452258816,12.171763,12.873824,11.362659,1.0,0.096419945
2245551602640533120,18.805044,19.28739,18.065035,1.0,0.06580718
2209357054244685568,20.43291,20.447239,18.380663,0.462,0.093436874
2214945803130024576,14.859868,16.248665,13.510923,1.0,0.057523683
2227300018854633984,19.801043,20.358055,19.160908,1.0,0.09852581
567123016660712960,18.62668,18.90576,17.922039,1.0,0.08756088
565814872702092160,17.483208,16.068117,15.164485,1.0,0.09853067
2201801206040534272,17.57271,17.658863,17.457607,1.0,0.10062047
2201898070443823872,12.778475,13.784276,11.750187,1.0,0.06716595
2207215446113668096,14.627111,16.31047,13.386936,1.0,0.041719947
2013782660405252608,20.561396,21.503273,18.95711,0.802,0.1156417
2202964493650917760,14.432752,15.901639,13.24897,1.0,0.074915096
2202893265915113216,16.376125,18.519897,15.032005,1.0,0.0452812
2199995125061958528,13.882098,15.074291,12.758668,1.0,0.09236123
2199998664114928256,16.510424,18.459824,15.14771,1.0,0.076630734
2201492522454923648,10.101913,10.461217,9.570125,1.0,0.087723926
2201492522444970624,15.862726,16.373896,14.456883,1.0,0.08727552
2203011051087088640,10.892071,11.416247,10.217442,1.0,0.089023314
2201512657261782016,14.775937,16.246656,13.5933275,1.0,0.062971726
2204522501624869888,14.184209,15.443173,13.073442,1.0,0.09293279
2011520827544777472,19.007591,,,0.994,0.10275891
2012238465045216896,12.186851,13.359892,11.029745,1.0,0.025404187
484694966392880000,18.111776,17.847342,16.03138,1.0,0.06541111
2013564922750171136,14.298179,14.972066,12.56271,0.992,0.086280264
2013564918444867968,14.598112,,,0.866,0.086488955
2013641785483954432,13.63378,14.590901,12.665266,1.0,0.09973845
2013595636052694016,19.402071,21.368446,17.839579,1.0,0.07900033
2200536668893261952,10.24909,10.881916,9.492262,1.0,0.05015659
2200496257539296640,17.487307,17.6112,17.259615,1.0,0.08439574
2200688332777752960,15.6942,17.326723,14.462832,1.0,0.09372575
2200719187822091392,16.17107,17.79463,14.942736,1.0,0.086418316
2201190289894698880,19.48031,21.702612,17.97893,1.0,0.08663601
2201241451544076672,16.443874,18.45771,15.085182,1.0,0.080990925
2201240940443657728,18.347977,18.653067,17.935198,1.0,0.07012491
2201202526256471040,20.074438,20.687933,19.48333,0.996,0.1019913
2201452390280047872,14.632353,16.033499,13.464259,1.0,0.07311926
2201461976641376512,19.136934,19.534971,18.524046,1.0,0.09491136
2200570719394019328,13.688283,14.635468,12.718508,1.0,0.087759465
2201310209682998016,14.496948,15.855225,13.345652,1.0,0.09314363
2201318520436572544,12.581489,13.50998,11.629011,1.0,0.07420816
2201444620676396672,11.548656,12.054988,10.718163,1.0,0.09732016
2201497573336733056,14.061237,15.461828,12.897717,1.0,0.0782228
2201569866225196672,11.4191675,12.127188,10.608628,1.0,0.072363235
2016107955698510848,20.05117,20.822847,18.463957,1.0,0.10412315
2201387931409019008,19.891657,21.455923,18.398453,1.0,0.09346897
2201577975123374464,16.925491,18.74225,15.655868,1.0,0.08227187
2201639440396101632,20.432543,21.76332,18.948957,1.0,0.07516294
2201321891994769664,9.988861,10.38587,9.422962,1.0,0.081138246
2200959602914909312,15.325791,16.754858,14.156253,1.0,0.09678605
2200959602910416000,14.082634,14.863124,12.564375,0.996,0.09802118
2200959602914910336,14.687656,,,0.89,0.09683696
2200963481262540672,17.885057,20.167667,16.497004,1.0,0.09062983
2201720082702356736,16.344261,18.21212,15.052107,1.0,0.0688741
2201015987241638144,15.160654,16.63102,13.973964,1.0,0.09867319
2201014337974289024,14.99379,16.598879,13.772925,1.0,0.08701134
2200979428484040064,8.892061,9.414668,8.212378,1.0,0.05008108
2200979531563248768,14.006725,14.999759,13.016864,1.0,0.09404903
2200979531558885248,20.610613,20.188078,18.518833,0.98,0.08277652
2200979531563243776,6.9745946,7.1770506,6.6107826,1.0,0.06553818
2200979531559939840,17.1479,17.198248,16.837048,1.0,0.0655707
2200974721200153344,9.538046,9.912892,8.995352,1.0,0.08007061
2201025092572325632,16.794422,18.826645,15.456042,1.0,0.08573133
2201084947237628032,12.405714,13.536291,11.34767,1.0,0.044546794
2201727646143829632,16.383524,18.243107,14.93897,1.0,0.08491429
2201804096563196800,15.337739,17.074999,14.083422,1.0,0.042449858
2201981530242780544,14.146622,15.389512,12.984653,1.0,0.0922394
2201981530250553728,17.44529,,,0.612,0.09744547
2201811861864347136,16.777956,18.615204,15.500571,1.0,0.09689665
2008515621749461760,18.02422,20.584108,16.577118,1.0,0.07180802
2008523696293273344,15.9384,17.527208,14.715363,1.0,0.099530205
2014534107883396608,13.366438,14.769349,12.20185,1.0,0.05318628
2008582554526486400,16.018959,17.817009,14.747528,1.0,0.07054969
2014332347495687296,19.516403,21.516823,17.977312,1.0,0.092104755
2014545515317173888,13.071442,14.153951,12.037736,1.0,0.08110773
2200753100884396032,14.149661,15.747574,12.923584,1.0,0.070994645
2008587227451377152,10.992636,11.222552,10.112407,1.0,0.09491376
2200763065208696064,13.613438,14.683322,12.585529,1.0,0.09349971
2014603102238535296,15.492458,16.90452,14.328999,1.0,0.07913972
2014568364543203712,15.914943,17.427858,14.717602,1.0,0.09047511
2206775160426317952,14.864821,16.314045,13.685987,1.0,0.09801958
2014630555669456640,16.531425,18.616957,15.204449,1.0,0.055791624
2014653404891943936,11.599415,13.027678,10.426491,1.0,0.017818429
2014378767508090496,14.457203,16.130184,13.186422,1.0,0.08127512
2014382164826494720,20.518982,21.127474,19.626131,0.976,0.098453775
2014384604362779392,13.927322,15.204635,12.8059635,1.0,0.0787409
2014369799615817088,11.945862,12.55956,11.199068,1.0,0.097848475
2013981358476175360,8.315317,8.602218,7.8552594,1.0,0.05615158
2013669754311039488,13.6940565,15.259769,12.482223,1.0,0.041609976
2014052143836128640,13.864995,15.274346,12.700829,1.0,0.068259664
2014800528994794880,18.013752,20.228693,16.56199,1.0,0.09206189
2014567020214724352,12.308917,13.31896,11.296437,1.0,0.06982855
2014567020213591424,10.4220495,10.89826,9.623159,1.0,0.06857304
2014467548772932864,20.127518,20.869461,19.284508,1.0,0.07324308
2014667526747963392,16.063416,17.701504,14.831265,1.0,0.09866497
2014479922579106304,15.551823,17.248127,14.292303,1.0,0.0648108
2014479922579106048,14.593188,16.186811,13.359129,1.0,0.06927944
2014691578564568064,14.24131,15.5557165,13.108234,1.0,0.09669652
2014495345798775168,13.684601,14.771018,12.6461115,1.0,0.09704555
2014871554874504832,14.059817,15.111891,13.041057,1.0,0.10078698
2014699275146148992,15.457615,16.680609,14.331721,1.0,0.079792604
2014509471954740352,16.293188,18.231392,14.986087,1.0,0.09483497
2014701542889398400,13.983479,15.301649,12.852987,1.0,0.059901055
2206836080242276096,17.408298,19.268623,16.10111,1.0,0.088025056
2201055226063495424,15.29962,16.911392,14.072244,1.0,0.09559202
2207047323912751104,19.593096,19.731688,19.40902,1.0,0.088349
2206819587568379648,15.907443,17.487555,14.694191,1.0,0.09868762
2206862880838092672,8.28405,8.684604,7.7071557,1.0,0.08936536
2201063231882645248,15.034613,16.614567,13.810075,1.0,0.07465537
2201113809419035520,14.973767,15.7730465,13.530682,0.924,0.097260036
2201893878555755904,14.00727,15.340056,12.8686,1.0,0.07873241
2201895115501501952,12.646773,13.631454,11.62207,1.0,0.0670759
2206895483941922304,6.9575653,5.9176974,4.901936,1.0,0.071189016
2206895488230107776,5.757996,5.9373984,4.9689035,1.0,0.07107867
2206895556949578624,10.701491,11.28245,9.983352,1.0,0.07131286
2207087078130356352,13.726827,15.553915,12.44568,1.0,0.027902009
2207123190210262784,13.758804,14.447125,12.27227,1.0,0.09548744
2207891473964971904,10.470798,10.963298,9.756572,1.0,0.08569512
2207895390975133568,10.630347,11.1174755,9.988193,1.0,0.083874986
2207148925659175424,12.412898,13.436251,11.394007,1.0,0.084284335
2014749917101512064,12.467596,13.684973,11.370513,1.0,0.051904127
2014749990114568320,18.55733,19.125685,17.851755,1.0,0.052525546
2014742671495397888,12.866227,13.922278,11.847015,1.0,0.07184207
2014739579119022848,13.191646,14.419035,12.0895405,1.0,0.05364951
2206928026898637440,15.121623,16.693058,13.906979,1.0,0.07971281
