,shifted wavelengths,shifted fluxs
0,"[4431.46137068 4431.47615244 4431.49093426 ... 4515.13755863 4515.15261951
 4515.16768044]",[0.89491583 0.78157068 0.82844585 ... 0.73591921 0.76729065 0.75944083]
1,"[4464.0450103  4464.05990075 4464.07479125 ... 4548.33645235 4548.35162397
 4548.36679563]",[0.93046022 0.90556022 0.80405242 ... 0.90647668 0.95454634 0.86366878]
2,"[4497.1197812  4497.13478198 4497.14978281 ... 4582.03575103 4582.05103506
 4582.06631913]",[0.96810621 0.94107978 1.0689216  ... 0.86337736 0.88337419 0.88199485]
3,"[4530.68121276 4530.69632548 4530.71143826 ... 4616.2155016  4616.23089964
 4616.24629773]",[0.4426163  0.43149351 0.32222238 ... 0.72694404 0.79675689 0.81883691]
4,"[4564.7509587  4564.76618507 4564.78141149 ... 4650.94396079 4650.95947466
 4650.9749886 ]",[0.73299853 0.81653264 0.69049199 ... 0.84387446 0.86374644 0.83030442]
5,"[4599.32550605 4599.34084774 4599.35618949 ... 4686.18698653 4686.20261797
 4686.21824946]",[0.92650742 0.8963751  0.96008712 ... 0.68543926 0.55160547 0.50702267]
6,"[4634.44636702 4634.46182587 4634.47728477 ... 4721.9396281  4721.9553788
 4721.97112954]",[1.03712827 0.8839065  0.88804949 ... 1.03668606 0.94501779 1.03613628]
7,"[4670.09780023 4670.113378   4670.12895582 ... 4758.26412124 4758.2799931
 4758.29586501]",[0.7357426  0.69704286 0.80705678 ... 0.87248017 0.89073836 0.87180479]
8,"[4706.30629579 4706.32199434 4706.33769294 ... 4795.15619346 4795.17218838
 4795.18818335]",[0.83843615 0.84249533 0.97434471 ... 0.93427638 0.86316104 0.85223596]
9,"[4743.07683161 4743.09265281 4743.10847407 ... 4832.63703653 4832.65315647
 4832.66927646]",[0.87511803 0.98180421 0.99567193 ... 0.89394924 0.81896591 0.70995607]
10,"[4780.42448815 4780.44043393 4780.45637977 ... 4870.67365595 4870.68990276
 4870.70614964]",[0.8555844  0.85009935 0.8929661  ... 0.96073845 0.93043672 0.95049335]
11,"[4818.36955565 4818.38562801 4818.40170041 ... 4909.31870895 4909.33508468
 4909.35146046]",[0.86807697 0.92186209 0.93110818 ... 0.75536196 0.6066479  0.5121587 ]
12,"[4856.92206579 4856.93826674 4856.95446774 ... 4948.59891714 4948.61542389
 4948.6319307 ]",[0.96128282 0.98319164 0.87829059 ... 0.93165598 0.92820174 0.91133164]
13,"[4896.08966017 4896.10599177 4896.12232342 ... 4988.53909939 4988.55573936
 4988.5723794 ]",[0.83651099 0.90876598 0.91133796 ... 0.84614635 0.82618439 0.80109539]
14,"[4935.89832495 4935.91478933 4935.93125377 ... 5029.08266814 5029.09944336
 5029.11621863]",[0.83572497 0.90557463 0.87426341 ... 0.88504993 0.91857817 0.89530059]
